year,date,ticker,name,status
2011,20110701,001430,세아베스틸,ok
2011,20110701,003450,현대증권,ok
2011,20110701,071050,한국금융지주,ok
2011,20110701,011070,LG이노텍,ok
2011,20110701,000670,영풍,ok
2011,20110701,037620,미래에셋증권,ok
2011,20110701,003240,태광산업,ok
2011,20110701,002350,넥센타이어,ok
2011,20110701,002790,아모레G,ok
2011,20110701,030000,제일기획,ok
2011,20110701,004000,삼성정밀화학,ok
2011,20110701,097230,한진중공업,ok
2011,20110701,005300,롯데칠성,ok
2011,20110701,006280,녹십자,ok
2011,20110701,073240,금호타이어,ok
2011,20110701,028670,STX팬오션,ok
2011,20110701,000100,유한양행,ok
2011,20110701,006120,SK케미칼,ok
2011,20110701,004370,농심,ok
2011,20110701,000080,진로,ok
2011,20110701,017800,현대엘리베이,ok
2011,20110701,006380,카프로,ok
2011,20110701,093050,LG패션,ok
2011,20110701,011810,STX,ok
2011,20110701,000070,삼양사,ok
2011,20110701,000640,동아제약,ok
2011,20110701,003620,쌍용차,ok
2011,20110701,103150,하이트맥주,ok
2011,20110701,006650,대한유화,ok
2011,20110701,069260,휴켐스,ok
2011,20110701,103140,풍산,ok
2011,20110701,005850,에스엘,ok
2011,20110701,001440,대한전선,ok
2011,20110701,077970,STX엔진,ok
2011,20110701,068870,LG생명과학,ok
2011,20110701,093370,후성,ok
2011,20110701,010690,화신,ok
2011,20110701,002240,고려제강,ok
2011,20110701,004490,세방전지,ok
2011,20110701,005180,빙그레,ok
2011,20110701,108670,LG하우시스,ok
2011,20110701,020000,한섬,ok
2011,20110701,025860,남해화학,ok
2011,20110701,051310,성진지오텍,ok
2011,20110701,008000,웅진케미칼,ok
2011,20110701,000700,한진해운홀딩스,ok
2011,20110701,000990,동부하이텍,ok
2011,20110701,002270,롯데삼강,ok
2011,20110701,003030,세아제강,ok
2011,20110701,003410,쌍용양회,ok
2011,20110701,003570,S&T중공업,ok
2011,20110701,084870,베이직하우스,ok
2011,20110701,007860,한일이화,ok
2011,20110701,010780,아이에스동서,ok
2011,20110701,013570,동양기전,ok
2011,20110701,029530,신도리코,ok
2011,20110701,034120,SBS,ok
2011,20110701,003920,남양유업,ok
2011,20110701,001520,동양메이저,ok
2011,20110701,001680,대상,ok
2011,20110701,004150,한솔제지,ok
2011,20110701,004430,송원산업,ok
2011,20110701,007310,오뚜기,ok
2011,20110701,007690,국도화학,ok
2011,20110701,069620,대웅제약,ok
2011,20110701,009580,무림P&P,ok
2011,20110701,014830,유니드,ok
2011,20110701,016380,동부제철,ok
2011,20110701,019680,대교,ok
2011,20110701,033530,세종공업,ok
2011,20110701,064960,S&T대우,ok
2011,20110701,008060,대덕전자,ok
2011,20110701,000140,하이트홀딩스,ok
2011,20110701,104700,한국철강,ok
2011,20110701,001630,종근당,ok
2011,20110701,002020,코오롱,ok
2011,20110701,002960,한국쉘석유,ok
2011,20110701,003000,부광약품,ok
2011,20110701,003190,알앤엘바이오,ok
2011,20110701,003300,한일시멘트,ok
2011,20110701,003480,한진중공업홀딩스,ok
2011,20110701,004710,한솔테크닉스,ok
2011,20110701,005090,삼광유리,ok
2011,20110701,007570,일양약품,ok
2011,20110701,009680,모토닉,ok
2011,20110701,016800,퍼시스,ok
2011,20110701,025000,KPX케미칼,ok
2011,20110701,071970,STX메탈,ok
2011,20110701,103590,일진전기,ok
2011,20110701,001130,대한제분,ok
2011,20110701,000050,경방,ok
2011,20110701,000480,조선내화,ok
2011,20110701,001210,금호전기,ok
2011,20110701,002030,아세아시멘트,ok
2011,20110701,003120,일성신약,ok
2011,20110701,003640,유니온스틸,ok
2011,20110701,084010,대한제강,ok
2011,20110701,005680,삼영전자,ok
2011,20110701,007340,동아타이어,ok
2011,20110701,008730,율촌화학,ok
2011,20110701,017900,광전자,ok
2011,20110701,020760,일진디스플,ok
2011,20110701,025540,한국단자,ok
2011,20110701,004130,대덕GDS,ok
2011,20110701,025850,KPX화인케미칼,ok
2012,20120702,005930,삼성전자,ok
2012,20120702,005380,현대차,ok
2012,20120702,005490,POSCO,ok
2012,20120702,000270,기아차,ok
2012,20120702,012330,현대모비스,ok
2012,20120702,009540,현대중공업,ok
2012,20120702,051910,LG화학,ok
2012,20120702,055550,신한지주,ok
2012,20120702,032830,삼성생명,ok
